unique_id	ds	y	NBEATS	NHITS	AutoARIMA	MSTL	Theta	AutoRegressive	AutoETS	AutoTheta
1.0	1958-01-31	166.0	162.73872	166.48842	175.57147	161.49516	170.59769	147.2889	176.03143	169.07996
1.0	1958-02-28	146.0	149.90196	151.34521	158.41557	132.74788	152.33916	161.70262	154.84598	149.9081
1.0	1958-03-31	162.0	161.33327	168.90405	180.98636	165.17728	173.90193	177.41257	182.3546	169.87987
1.0	1958-04-30	184.0	177.64919	191.20523	201.61853	200.46498	197.4621	205.02682	203.70117	191.45738
1.0	1958-05-31	199.0	204.68399	205.68762	236.55882	245.51013	229.54839	227.18388	241.71254	220.87053
1.0	1958-06-30	199.0	201.56335	200.87227	225.98907	245.83119	228.54485	220.71452	242.70528	218.18835
1.0	1958-07-31	178.0	183.26062	190.97995	215.04338	210.51237	204.98221	214.34181	217.52608	194.12949
1.0	1958-08-31	172.0	165.0169	189.36357	180.82056	169.50697	178.6724	189.59631	192.23628	167.8276
1.0	1958-09-30	163.0	163.56183	173.1133	179.39345	165.87056	174.95248	193.29767	189.33286	162.95547
1.0	1958-10-31	178.0	165.44505	165.80746	191.81573	171.53725	175.96208	191.64459	193.54059	162.4874
1.0	1958-11-30	150.0	157.09152	160.52626	179.12703	133.905	151.4021	184.44412	170.07298	138.57646
1.0	1958-12-31	145.0	149.50095	157.77536	170.3565	140.91682	159.21744	172.94145	175.77484	144.4131
1.0	1959-01-31	140.0	144.26683	148.36565	175.09712	129.94598	155.1173	154.69449	176.03143	139.39012
1.0	1959-02-28	114.0	143.20834	151.51941	158.0659	101.1987	138.41025	164.03096	154.84598	123.193855
1.0	1959-03-31	133.0	148.56682	157.11737	180.7286	133.6281	157.87938	173.2843	182.3546	139.15022
1.0	1959-04-30	158.0	164.34853	181.28076	201.42853	168.9158	179.12805	200.65714	203.70117	156.29453
1.0	1959-05-31	170.0	180.3814	187.81056	236.41876	213.96095	208.06898	213.84767	241.71254	179.6752
1.0	1959-06-30	170.0	177.36789	178.49448	225.88583	214.28201	206.99127	214.65747	242.70528	176.85078
1.0	1959-07-31	149.0	168.2592	176.9193	214.96729	178.9632	185.49765	209.4641	217.52608	156.76007
1.0	1959-08-31	125.0	156.33571	172.09654	180.76447	137.9578	161.5531	194.6664	192.23628	134.99455
1.0	1959-09-30	135.0	159.43697	166.1191	179.3521	134.32138	158.05469	198.82552	189.33286	130.54723
1.0	1959-10-31	141.0	160.70505	162.51607	191.78526	139.98807	158.82887	192.41145	193.54059	129.62764
1.0	1959-11-30	126.0	139.71623	147.05408	179.10457	102.35582	136.53967	188.88486	170.07298	110.07183
1.0	1959-12-31	115.0	142.40097	141.0897	170.33994	109.367645	143.45891	174.47462	175.77484	114.189835
1.0	1960-01-31	118.0	136.87038	137.51205	175.08492	98.39681	139.63689	162.13994	176.03143	109.70028
1.0	1960-02-29	104.0	123.131226	128.55086	158.05692	69.64952	124.481346	165.61147	154.84598	96.47962
1.0	1960-03-31	119.0	131.5809	136.94833	180.72197	102.07892	141.85683	172.79344	182.3546	108.42059
1.0	1960-04-30	136.0	147.86885	164.72327	201.42365	137.36662	160.79399	195.49731	203.70117	121.131676
1.0	1960-05-31	148.0	164.19432	165.21323	236.41516	182.41177	186.58957	203.83916	241.71254	138.47987
1.0	1960-06-30	148.0	158.87254	156.70793	225.88318	182.73283	185.4377	209.3986	242.70528	135.51321
1.0	1960-07-31	135.0	149.52449	149.00273	214.96532	147.41402	166.01309	204.42647	217.52608	119.390656
1.0	1960-08-31	121.0	127.47568	128.99826	180.76302	106.408615	144.4338	198.0934	192.23628	102.16148
1.0	1960-09-30	129.0	128.5949	133.82806	179.35103	102.7722	141.15689	200.3373	189.33286	98.13898
1.0	1960-10-31	132.0	132.96233	135.43425	191.78447	108.43889	141.69568	194.39087	193.54059	96.7679
1.0	1960-11-30	118.0	123.62654	126.954	179.10399	70.80665	121.67725	191.7221	170.07298	81.56721
1.0	1960-12-31	112.0	117.761375	120.98982	170.33951	77.81847	127.70038	176.78171	175.77484	83.96657
